index,comment_time,movie_id,human_label,content
0,2019-07-28 13:00:33,1294393,2,无聊的时候看看电影真好，跟着剧情喜怒哀乐，不错，有和我一样的吗？
1,2018-08-18 17:53:21,1763939,2,原作作为阿婆的经典三部曲之一，让这部电影也成为了经典
2,2013-03-18 21:54:23,6535907,2,開場之初已經註定影片壓抑的調調，所謂販賣給別人夢想，到頭來只是遺失自己的夢想，去高潮化的結尾尚待回味。影片幾乎是松隆子的獨角戲，演技狂飆，堅強、樂觀、隱忍、壓抑、痛苦、無助，所有的情緒都令人折服，從《四月物語》的青澀稚嫩走到如今的演技女皇，真是讓人想不愛她都難！
3,2018-08-10 13:47:27,6301361,1,Weisz当时居然四十了...
4,2010-03-04 08:54:33,1466114,2,经典
5,2018-01-07 10:36:46,1303285,2,本片很牛，无奈老版太好，只看一部的话老版足够.
6,2011-06-15 03:48:40,1297097,1,给其对创作的重要性
7,2014-01-15 14:30:38,1307548,0,无聊的伪纪录片
8,2019-01-30 13:21:57,1485395,1,为什么杀他
9,2010-11-14 20:30:33,1858678,0,刚开始还满怀期待，本以为年轻后会发生什么历险。结果后面完全不着调，神幻，宗教，巴拉巴拉，扯淡似的感情
10,2010-01-07 23:54:24,1308162,1,孙太个性耿直善良体贴，挨日子一般的艰难生活，也能满足于小小的幸福。这是有笑有泪的生活543.
11,2012-06-16 19:46:00,7015749,0,总之。。。真心。。。。不好看。。。
12,2016-04-13 23:55:07,3422233,1,.
13,2010-01-18 19:30:20,1307217,1,喜欢奶茶
14,2006-01-29 20:25:39,1433038,1,洩了氣的可樂是過了期的快樂
15,2015-07-06 22:27:28,22419013,2,个人觉得很好看啊~比较逗比的心灵鸡汤23333ed好听死了！！！！古铜色的宏爷简直帅炸≧∇≦好看~~~
16,2015-06-08 13:34:36,1293352,1,像Lauren Bacall那样优雅地挠痕…
17,2019-08-27 18:33:20,1469441,1,大眼睛方枪枪历险记~
